id,input_action,hit_test_type,hit_test_value,on_click_operation,drag_target,drag_property,drag_input_source,drag_multiplier,drag_min,drag_max,move_with,move_edge,consume_input,raycast_enabled
splitter_left,select_object,panel_prefix,left_border,start_drag,left_border,x,mouse_delta_x,1.0,50,600,left_panel,right,true,false
splitter_right,select_object,panel_prefix,right_border,start_drag,right_border,x,mouse_delta_x,1.0,100,1800,right_panel,left,true,false
tab_item_follow,select_object,panel_prefix,,start_drag,right_border,x,mouse_delta_x,1.0,100,1800,tab_item,all,false,false
tab_view_follow,select_object,panel_prefix,,start_drag,right_border,x,mouse_delta_x,1.0,100,1800,tab_view,all,false,false
scene_select,select_object,panel_prefix,_st_,select_object,,,,,,,,,,true,false
raycast_select,select_object,viewport,,raycast,,,,,,,,,,true,true
tab_item_toggle,select_object,panel_prefix,tab_item,toggle_tab,item_,visible,toggle,,,,,,,true,false
tab_view_toggle,select_object,panel_prefix,tab_view,toggle_tab,view_,visible,toggle,,,,,,,true,false
xyz_loc_edit,select_object,panel_prefix,item_loc_,edit_value,,,,,,,,,,true,false
xyz_rot_edit,select_object,panel_prefix,item_rot_,edit_value,,,,,,,,,,true,false
xyz_scale_edit,select_object,panel_prefix,item_scale_,edit_value,,,,,,,,,,true,false
menu_file_toggle,select_object,menu_file,,,,,,toggle_popup,menu_file_popup,,,,,
menu_edit_toggle,select_object,menu_edit,,,,,,toggle_popup,menu_edit_popup,,,,,
menu_tools_toggle,select_object,menu_tools,,,,,,toggle_popup,menu_tools_popup,,,,,
file_new_click,select_object,file_new_panel,,,,,,log_message,File New clicked,,,,,
file_open_click,select_object,file_open_panel,,,,,,log_message,File Open clicked,,,,,
file_save_click,select_object,file_save_panel,,,,,,log_message,File Save clicked,,,,,
edit_undo_click,select_object,edit_undo_panel,,,,,,log_message,Edit Undo clicked,,,,,
edit_redo_click,select_object,edit_redo_panel,,,,,,log_message,Edit Redo clicked,,,,,
tools_options_click,select_object,tools_options_panel,,,,,,log_message,Tools Options clicked,,,,,
